date,latitude,longitude,depth,magnitude,location
2024-12-25T06:55:53,37.20028,36.68833,10.98,ML,1.9
2024-12-25T06:39:13,39.38389,26.18694,9.87,ML,1.4
2024-12-25T06:34:40,37.86306,29.30417,7.0,ML,1.5
2024-12-25T06:32:49,37.87694,29.27583,7.0,ML,1.5
2024-12-25T06:31:18,37.87028,29.27417,7.0,ML,1.4
2024-12-25T06:23:25,37.87083,29.27194,12.36,ML,2.0
2024-12-25T06:03:45,38.76222,38.95306,7.0,ML,1.0
2024-12-25T05:57:26,40.19361,28.98111,7.0,ML,1.4
2024-12-25T05:39:05,37.88,29.26806,7.0,ML,1.8
2024-12-25T05:32:41,38.27,38.80583,8.71,ML,0.9
2024-12-25T05:07:51,39.41556,38.51861,13.48,ML,1.9
2024-12-25T05:03:53,37.2025,36.96278,10.72,ML,1.8
2024-12-25T04:59:16,37.8775,29.26444,5.33,ML,1.7
2024-12-25T04:50:48,38.31333,38.25333,7.0,ML,0.8
2024-12-25T04:42:58,40.80056,31.09139,7.03,ML,1.2
2024-12-25T04:11:07,38.02778,30.07222,7.0,ML,2.3
2024-12-25T04:06:14,37.87944,29.25556,7.0,ML,3.0
2024-12-25T03:53:43,40.81889,27.95222,8.53,ML,1.4
